,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
0,1.0,434.48,52.8,52.8,434.48,52.8,381.68,381.68
1,1.0,1264.05,327.18,327.18,1264.05,327.18,936.87,936.87
2,7.0,551.61,177.68,177.68,3861.29,1243.73,373.94,2617.56
3,1.0,140.0,38.96,38.96,140.0,38.96,101.04,101.04
4,2.0,172.41,101.71,101.71,344.83,203.42,70.71,141.41
5,2.0,237.07,49.41,49.41,474.14,98.82,187.66,375.32
6,1.0,1188.0,191.8,5323.76,14000.0,5323.76,8676.24,8676.24
7,3.0,94.5,38.96,38.96,283.5,116.88,55.54,166.62
8,1.0,1615.0,517.89,517.89,1615.0,517.89,1097.11,1097.11
9,1.0,1615.0,517.89,517.89,1615.0,517.89,1097.11,1097.11
10,1.0,1615.0,517.89,517.89,1615.0,517.89,1097.11,1097.11
11,1.0,1615.0,0.0,586.32,1615.0,586.32,1028.68,1028.68
12,1.0,1615.0,0.0,586.32,1615.0,586.32,1028.68,1028.68
13,1.0,1485.25,0.0,86.22,1485.25,86.22,1399.03,1399.03
14,1.0,2095.25,0.0,742.05,2095.25,742.05,1353.2,1353.2
15,5.0,192.5,51.73,149.6,481.25,397.08,42.9,84.17
16,2.0,771.28,124.0,124.0,1542.56,248.0,647.28,1294.56
17,3.0,125.0,0.0,141.9,375.0,425.69,-16.9,-50.69
18,5.0,821.3,0.0,78.7,4106.5,393.48,742.6,3713.02
19,7.0,821.3,0.0,75.77,5749.1,530.41,745.53,5218.69
20,3.0,496.35,27.43,27.43,1489.05,82.29,468.92,1406.76
21,3.0,938.53,147.76,147.76,2815.59,443.27,790.77,2372.32
22,1.0,718.52,259.35,259.35,718.52,259.35,459.17,459.17
23,1.0,898.25,332.65,332.65,898.25,332.65,565.6,565.6
24,2.0,1500.0,0.36,0.36,3000.0,0.72,1499.64,2999.28
25,3.0,1848.0,1081.89,1081.89,5544.0,3245.66,766.11,2298.34
26,5.0,485.0,124.0,124.0,2425.0,620.0,361.0,1805.0
27,6.0,375.0,44.14,44.14,2250.0,264.83,330.86,1985.17
28,2.0,2005.46,489.39,489.39,4010.92,978.77,1516.07,3032.15
29,3.5,1299.32,305.44,305.44,3911.1,9163.18,993.88,3089.3
30,6.0,856.04,295.24,295.24,5136.22,1771.42,560.8,3364.8
31,3.5,1299.32,305.44,305.44,3911.1,9163.18,993.88,3089.3
32,1.0,601.23,178.6,178.6,601.23,178.6,422.63,422.63
33,10.0,150.5,68.95,68.95,1505.0,689.45,81.56,815.55
34,10.0,215.96,78.32,78.32,2159.6,783.24,137.64,1376.36
35,1.0,382.1,5.76,5.76,382.1,5.76,376.34,376.34
36,1.0,485.23,45.01,45.01,485.23,45.01,440.22,440.22
37,1.0,945.0,289.05,289.05,945.0,289.05,655.95,655.95
38,3.5,259.6,64.85,64.85,10384.0,2594.17,194.75,7789.83
39,1.0,938.53,0.0,161.73,938.53,161.73,776.8,776.8
40,3.0,1188.0,0.0,1509.14,3911.1,4527.42,11210.86,3089.3
41,9.0,619.21,101.71,101.71,5572.89,915.42,517.5,4657.47
42,10.0,505.08,0.0,81.91,5050.8,819.14,423.17,4231.66
43,8.0,1328.0,0.0,497.54,10624.0,3980.31,830.46,6643.69
44,2.0,599.05,0.0,98.76,1198.1,197.51,500.3,1000.59
45,1.0,803.0,140.29,140.29,803.0,140.29,662.71,662.71
46,2.0,785.25,181.88,181.88,1570.5,363.75,603.38,1206.75
47,2.0,615.85,249.89,249.89,1231.7,499.77,365.96,731.93
48,4.0,385.2,48.56,48.56,1540.8,194.24,336.64,1346.56
49,1.0,2150.0,0.0,195.26,2150.0,195.26,1954.74,1954.74
50,5.0,531.0,85.29,85.29,2655.0,426.47,445.71,2228.53
51,1.0,385.0,220.0,220.0,385.0,220.0,165.0,165.0
52,1.0,500.0,211.36,211.36,500.0,211.36,288.64,288.64
53,2.0,835.5,242.48,242.48,1671.0,484.95,593.02,1186.05
54,2.0,895.5,235.56,235.56,1791.0,471.13,659.94,1319.87
55,1.0,1264.25,0.0,319.8,1264.25,319.8,944.45,944.45
56,1.0,1264.25,0.0,313.8,1264.25,313.8,950.45,950.45
57,4.0,605.0,44.7,44.7,2420.0,178.8,560.3,2241.2
58,1.0,337.7,4.02,4.02,337.7,4.02,333.68,333.68
59,2.0,558.14,69.23,69.23,1116.28,138.46,488.91,977.82
60,2.0,558.14,69.23,69.23,1116.28,138.46,488.91,977.82
61,3.0,1412.0,556.14,556.14,4236.0,1668.42,855.86,2567.58
62,3.0,1188.0,447.68,447.68,3564.0,1343.05,740.32,2220.95
63,6.0,663.0,95.82,95.82,3978.0,574.91,567.18,3403.09
64,2.0,495.8,158.4,158.4,991.6,316.8,337.4,674.8
65,8.0,2177.5,272.65,272.65,17420.0,2181.22,1904.85,15238.78
66,2.0,505.23,161.63,161.63,1010.46,323.25,343.6,687.21
67,4.0,985.1,105.68,105.68,3940.4,422.72,879.42,3517.68
68,4.0,2644.28,0.0,795.74,10577.12,3182.95,1848.54,7394.17
69,2.0,522.0,51.38,51.38,1044.0,102.76,470.62,941.24
70,1.0,255.01,291.72,291.72,255.01,291.72,-36.71,-36.71
71,10.0,551.25,0.0,240.87,5512.5,2408.67,310.38,3103.83
72,1.0,364.55,52.48,52.48,364.55,52.48,312.07,312.07
73,1.0,662.0,139.82,139.82,662.0,139.82,522.18,522.18
74,3.5,1475.3,275.5,275.5,3911.1,8264.95,1199.8,3089.3
75,3.0,999.91,200.3,200.3,2999.72,600.9,799.61,2398.82
76,10.0,1450.0,372.67,372.67,14500.0,3726.73,1077.33,10773.27
77,6.0,1450.0,360.5,360.5,8700.0,2162.98,1089.5,6537.02
78,6.0,1450.0,337.97,337.97,8700.0,2027.79,1112.03,6672.21
79,8.0,415.0,113.47,113.47,3320.0,907.73,301.53,2412.27
80,10.0,272.0,77.13,77.13,2720.0,771.29,194.87,1948.71
81,2.0,1025.87,0.0,115.58,2051.74,231.15,910.29,1820.59
82,2.0,1587.25,0.0,165.19,3174.5,330.39,1422.06,2844.11
83,2.0,2985.36,0.0,385.71,5970.72,771.42,2599.65,5199.3
84,1.0,566.64,85.89,85.89,566.64,85.89,480.75,480.75
85,12.0,431.5,95.96,95.96,5178.0,1151.56,335.54,4026.44
86,12.0,528.3,131.65,131.65,6339.6,1579.75,396.65,4759.85
87,1.0,1880.28,0.0,292.75,1880.28,292.75,1587.53,1587.53
88,20.0,150.0,71.25,71.25,3000.0,1425.02,78.75,1574.98
89,1.0,98.0,38.96,38.96,98.0,38.96,59.04,59.04
90,3.0,830.25,363.33,363.33,2490.75,1090.0,466.92,1400.75
91,1.0,473.28,27.08,27.08,473.28,27.08,446.2,446.2
92,1.0,1659.6,436.54,436.54,1659.6,436.54,1223.06,1223.06
93,1.0,107.76,38.96,38.96,107.76,38.96,68.8,68.8
94,1.0,499.0,113.22,113.22,499.0,113.22,385.78,385.78
95,3.0,900.0,0.0,247.52,2700.0,742.57,652.48,1957.43
96,3.0,1189.0,0.0,160.03,3567.0,480.08,1028.97,3086.92
97,3.0,1435.0,0.0,369.59,4305.0,1108.78,1065.41,3196.22
98,2.0,495.0,0.0,67.42,990.0,134.84,427.58,855.16
99,1.0,125.0,71.25,71.25,125.0,71.25,53.75,53.75
100,1.0,175.0,75.89,75.89,175.0,75.89,99.11,99.11
101,2.0,2625.5,0.0,1214.3,5251.0,2428.6,1411.2,2822.4
102,2.0,2464.2,1041.08,1041.08,4928.4,2082.15,1423.12,2846.25
103,2.0,2068.5,1298.68,1298.68,4137.0,2597.36,769.82,1539.64
104,1.0,925.6,0.0,387.87,925.6,387.87,537.73,537.73
105,1.0,1517.63,435.3,435.3,1517.63,435.3,1082.33,1082.33
106,4.0,498.85,0.0,24.38,1995.4,97.52,474.47,1897.88
107,1.0,2629.5,167.3,167.3,2629.5,167.3,2462.2,2462.2
108,1.0,535.09,104.4,104.4,535.09,104.4,430.69,430.69
109,2.0,1195.84,0.0,336.57,2391.69,673.13,859.28,1718.56
110,1.0,1572.45,0.0,647.84,1572.45,647.84,924.61,924.61
111,4.0,2375.5,0.0,436.05,9502.0,1744.19,1939.45,7757.81
112,2.0,2080.85,0.0,449.35,4161.7,898.7,1631.5,3263.0
